Hanja,Pronunciation,Definition,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level
女,녀,계집,,"女子 - 여자 (woman)
女性 - 여성 (woman)
-女 - 그녀 (she)
少女 - 소녀 (a young girl)
男女 - 남녀 (man and woman)
女王 - 여왕 (queen)
",女,8,6II
年,년,해,,"年 - 년 (year)
年生 - 년생 (year of birth)
學年 - 학년 (school year, grade)
周年 - 주년 (anniversary)
少年 - 소년 (boy)
靑少年 - 청소년 (young boys and girls, teenagers)
","一, ノ, 干",8,6II
念,념,생각,,"記念 - 기념 (memory)
記念 - 기념하는 (memorial)
槪念 - 개념 (notion)
理念 - 이념 (idea)
信念 - 신념 (faith)
觀念 - 관념 (notion)
","一, ｜, 个, 心",5II,4II
寧,녕,편안할,,"安寧 - 안녕 (hello/goodbye)
安寧- - 안녕하다 (to say hello)
安寧- - 안녕히 (peacefully)
","一, 亅, 宀, 心, 買",3II,2
怒,노,성낼,,"憤怒 - 분노 (rage,anger)
激怒 - 격노 (rage)
激怒 - 격노하다 (rage)
怒號 - 노호하는 (roaring)
怒號 - 노호하다 (roar)
","又, 女, 心",4II,3II
奴,노,종,,"守錢奴 - 수전노 (miser)
","又, 女",3II,2
努,노,힘쓸,,"努力 - 노력 (exertion)
","力, 又, 女",4II,3II
農,농,농사,,"農業 - 농업 (agriculture)
農場 - 농장 (a farm, plantation)
農村 - 농촌 (a farm village)
農民 - 농민 (peasant)
農夫 - 농부 (peasant)
農事 - 농사 (farming)
","一, ｜, 厂, 日, 衣, 辰",7II,6
腦,뇌,골,,"腦 - 뇌 (brains)
頭腦 - 두뇌 (head)
洗腦 - 세뇌 (brainwashing)
大腦 - 대뇌 (cerebrum)
腦波 - 뇌파 (brain wave)
腦下垂體 - 뇌하수체 (pituitary gland)
","囗, 川, 月",3II,2
惱,뇌,괴로워할,,"苦惱 - 고뇌 (anguish)
","囗, 川, 忙",3,2
能,능,능할,,"可能 - 가능 (possibility)
可能- - 가능하다 (to be possible)
可能- - 가능해지다 (to become possible)
可能性 - 가능성 (potentiality)
不可能- - 불가능하다 (impossible)
能力 - 능력 (faculty)
","匕, 厶, 月",5II,4II
泥,니,진흙,,,"匕, 尸, 汁",3II,2
多,다,많을,,"多樣- - 다양하다 (to be various, diverse)
多樣- - 다양해지다 (diversify)
多樣性 - 다양성 (variety)
多幸 - 다행 (good luck)
多數 - 다수 (a great number)
多少 - 다소 (somewhat)
",夕,6,5
茶,다,차,,"茶房 - 다방 (tea room)
紅茶 - 홍차 (black tea)
茶菓 - 다과 (refreshment)
","个, 艾, 木",3II,2
丹,단,붉을,,"丹毒 - 단독 (erysipelas)
丹楓 - 단풍 (autumn colors, fall foliage)
一片丹心 - 일편단심 (devoted; fidelity)
","一, 丶, ノ, 亅",3II,2
但,단,다만,,"但只 - 단지 (simple, merely)
但書 - 단서 (proviso)
","一, 化, 日",3II,2
單,단,홑,,"單 - 단 (only one, alone)
單語 - 단어 (word)
簡單- - 간단하다 (to be simple)
單純 - 단순 (simplicity)
單獨 - 단독 (independence)
單位 - 단위 (a unit, a monad)
","十, 口, 田",4II,3II
短,단,짧을,,"短篇 - 단편 (a piece, fragment)
短點 - 단점 (a weakness, flaw, shortcoming, drawback)
短縮 - 단축 (shortening)
短波 - 단파 (short wave)
短刀 - 단도 (dagger)
極超短波 - 극초단파 (ultrahigh frequency)
","八, 口, 矢, 豆",6II,5II
端,단,끝,,"極端 - 극단 (extremity)
異端 - 이단 (heresy)
發端 - 발단 (beginning)
惹端 - 야단 (clamor, uproar; scolding, telling off)
先端 - 선단 (tip)
","山, 立, 而",4II,3II
旦,단,아침,,"一旦 - 일단 (temporarily)
","一, 日",3II,2
段,단,층계,,"段 - 단 (a grade or class)
段階 - 단계 (gradation)
手段 - 수단 (measure)
階段 - 계단 (a staircase, a set of stairs)
文段 - 문단 (paragraph)
段落 - 단락 (paragraph)
","｜, 殳",4,3
壇,단,단,,"花壇 - 화단 (flower bed)
演壇 - 연단 (rostrum)
","一, 亠, 口, 囗, 土, 日",5,4
檀,단,박달나무,,"紫檀 - 자단 (rosewood)
","一, 亠, 口, 日, 木",4II,3II
斷,단,끊을,,"判斷 - 판단 (a judgment, a conclusion)
判斷- - 판단하다 (to make a conclusion)
中斷 - 중단 (suspension)
遮斷 - 차단 (interception)
診斷 - 진단 (diagnosis)
斷片 - 단편 (shred)
","｜, 幺, 斤",4II,3II
團,단,둥글,,"團體 - 단체 (organization)
團地 - 단지 (a public apartment complex)
集團 - 집단 (mass)
集團的 - 집단적 (collectively, as a group)
師團 - 사단 (division)
公團 - 공단 (public corporation)
","十, 厶, 囗, 寸",5II,4II
達,달,통달할,,"傳達 - 전달 (communication)
發達 - 발달 (growth)
到達- - 도달하다 (arrival)
配達 - 배달 (delivery)
調達 - 조달하다 (cater)
熟達 - 숙달 (mastery)
","八, 込, 土, 王, 羊",4II,3II
談,담,말씀,,"相談 - 상담 (consultation)
弄談 - 농담 (a joke)
面談 - 면담 (an interview, face-to-face talk)
怪談 - 괴담 (ghost story)
俗談 - 속담 (a proverb, saying)
談話 - 담화 (conversation)
","火, 言",5,4
淡,담,맑을,,"淡水 - 담수 (fresh water)
冷淡 - 냉담 (indifference)
","汁, 火",3II,2
擔,담,멜,,"擔當 - 담당 (charge)
負擔 - 부담 (responsibility)
擔任 - 담임 (charge, duty)
擔當者 - 담당자 (person in charge)
分擔 - 분담 (share)
","儿, 厂, マ, 扎, 言",4II,3II
答,답,대답,,"答 - 답 (answer)
答- - 답하다 (answer, reply)
對答 - 대답 (an answer)
對答- - 대답하다 (to answer, reply)
應答 - 응답 (response)
答辯 - 답변 (an answer, response, reply)
","个, 口, 竹",7II,6
畓,답,논,,,,3,2
踏,답,밟을,,,"口, 日, 水, 足",3II,2
堂,당,집,,"食堂 - 식당 (restaurant)
聖堂 - 성당 (sanctuary)
堂堂- - 당당하다 (dignified)
講堂 - 강당 (auditorium)
","冖, 口, 土, 尚",6II,5II
當,당,마땅,,"當身 - 당신 (you (formal))
當時 - 당시 (at that time)
該當 - 해당 (to be relevent, applicable (to), fall under)
該當- - 해당하다 (to be applied, applicable under)
該當- - 해당되다 (to be applied, applicable under)
當- - 당하다 (to have, to encounter)
","冖, 口, 尚, 田",5II,4II
唐,당,당나라,,"唐慌- - 당황하다 (be confused)
","一, ｜, 口, 广, ヨ",3II,2
糖,당,사탕,,"雪糖 - 설탕 (sugar)
沙糖 - 사탕 (sugar)
糖尿病 - 당뇨병 (diabetes)
果糖 - 과당 (fruit sugar)
糖類 - 당류 (saccharide)
糖蜜 - 당밀 (molasses)
","口, 广, 米",3II,2
黨,당,무리,,"政黨 - 정당 (political party)
與黨 - 여당 (government party)
惡黨 - 악당 (scoundrel)
徒黨 - 도당 (faction)
黨派 - 당파 (faction)
","冖, 口, 尚, 杰, 里, 黒",4II,3II
大,대,큰,,"大統領 - 대통령 (president)
大學 - 대학 (university)
大家族 - 대가족 (big family)
大都市 - 대도시 (large city)
大部分 - 대부분 (most )
大會 - 대회 (a great meeting)
",大,8,6II
代,대,대신할,,"代 - 대 (era, period)
代表 - 대표 (representation)
代表 - 대표하는 (representative)
代表的 - 대표적인 (representative)
時代 - 시대 (age, era, period)
時代的 - 시대적 (of the times)
","化, 弋",6II,5II
待,대,기다릴,,"期待 - 기대 (hope)
待機- - 대기하다 (standing by, waiting in the wings, prepared)
招待 - 초대 (an invitation)
招待- - 초대하다 (to invite)
待遇 - 대우 (treatment)
待避 - 대피 (evacuation)
","土, 寸, 彳",6,5
對,대,대할,,"對 - 대 (versus; a pair, counterpart)
對話 - 대화 (dialogue)
相對 - 상대 (counterpart, companion, rival)
對話 - 대화하다 (dialogue)
反對 - 반대 (reverse)
相對的 - 상대적인 (relative)
","八, 寸, 王, 羊",6II,5II
帶,대,띠,,"地帶 - 지대 (zone)
繃帶 - 붕대 (bandage)
靭帶 - 인대 (ligament)
","一, 儿, 冖, 凵, 巾",4II,3II
臺,대,대,,"舞臺 - 무대 (stage)
臺詞 - 대사 (speech, dialogue)
寢臺 - 침대 (bed)
土臺 - 토대 (foundation)
臺紙 - 대지 (mount)
燈臺 - 등대 (lighthouse)
","冖, 厶, 口, 土, 士, 至",3II,2
貸,대,빌릴,,"貸出 - 대출 (loan)
貸付 - 대부 (loan)
貸借 - 대차 (loan)
高利貸金業者 - 고리대금업자 (loan shark)
","化, 弋, 貝",3II,2
隊,대,무리,,"軍隊 - 군대 (troop)
部隊 - 부대 (unit, troops, squad (military))
聯隊 - 연대 (regiment)
入隊 - 입대 (enlistment)
艦隊 - 함대 (fleet)
除隊- - 제대하다 (be discharged from the military)
","八, 阡, 豕",4II,3II
德,덕,클,,"德分 - 덕분 (thanks to)
德 - 덕 (virtue, morality)
道德 - 도덕 (immorality)
",,5II,4II
刀,도,칼,,"短刀 - 단도 (dagger)
",刀,3II,2
到,도,이를,,"到着 - 도착 (arrival)
到達- - 도달하다 (arrival)
到底- - 도저히 (absolutely impossible; by all means)
殺到 - 쇄도 (flood)
殺到 - 쇄도하는 (rush)
殺到 - 쇄도하다 (rush)
","刈, 厶, 土, 至",5II,4II
度,도,법도,"""헤아릴 탁""으로도 읽는다.","度 - 도 (degrees (temperature))
程度 - 정도 (grade)
粘度 - 점도 (viscosity)
制度 - 제도 (system)
制度的 - 제도적 (institutional, systematic)
速度 - 속도 (velocity)
","又, 广",6,5
道,도,길,,"道 - 도 (road)
道路 - 도로 (road)
報道 - 보도 (information)
報道 - 보도하다 (report)
人道 - 인도 (sidewalk)
京畿道 - 경기도 (region surrounding Seoul)
","八, 込, 自, 首",7II,6
島,도,섬,,"濟州島 - 제주도 (Jeju island)
韓半島 - 한반도 (the Korean peninsula)
半島 - 반도 (peninsula)
群島 - 군도 (archipelago)
多島海 - 다도해 (archipelago)
","山, 白, 鳥",5,4
徒,도,무리,,"使徒 - 사도 (disciple)
叛徒 - 반도 (rebel)
徒黨 - 도당 (faction)
暴徒 - 폭도 (insurgent)
徒弟 - 도제 (apprentice)
","土, 彳, 走",4,3
都,도,도읍,,"都市 - 도시 (city)
大都市 - 대도시 (large city)
首都 - 수도 (a capital city)
首都圈 - 수도권 (the metropolitan area)
都大體 - 도대체 (how on earth?, what the Hell?)
都心 - 도심 (downtown, city center)
","邦, 老, 日",5,4
圖,도,그림,,"製圖 - 제도 (drawing)
地圖 - 지도 (map)
試圖 - 시도 (make an attempt, give sth a try)
試圖- - 시도하다 (to try, attempt)
企圖 - 기도하다 (propose)
圖書館 - 도서관 (library)
","口, 囗",6II,5II
倒,도,넘어질,,"倒錯 - 도착 (perversion)
壓倒 - 압도적인 (overwhelming)
壓倒 - 압도하다 (whelm)
打倒 - 타도 (overthrow)
打倒 - 타도하다 (overturn)
卒倒 - 졸도 (fainting)
","化, 刈, 厶, 土, 至",3II,2
挑,도,돋울,,"挑戰 - 도전 (defiance)
挑戰 - 도전하다 (challenge)
挑戰者 - 도전자 (challenger)
","儿, 冫, 扎",3,2
桃,도,복숭아,,"扁桃 - 편도 (almond)
扁桃腺 - 편도선 (tonsil)
","儿, 冫, 木",3II,2
跳,도,뛸,,"跳躍 - 도약 (skip)
跳躍 - 도약하는 (jumping)
跳躍 - 도약하다 (spring)
","儿, 冫, 口, 足",3,2
逃,도,달아날,,"逃亡 - 도망 (escape)
逃走 - 도주 (flight)
逃避 - 도피 (evasion)
逃亡者 - 도망자 (runaway)
","儿, 冫, 込",4,3
渡,도,건널,,"過渡的 - 과도적인 (transitional)
","又, 广, 汁",3II,2
陶,도,질그릇,,"陶瓷器 - 도자기 (ceramics, porcelain, earthenware)
陶器 - 도기 (pottery)
陶工 - 도공 (potter)
陶藝 - 도예 (ceramics)
陶醉 - 도취 (intoxication)
","勹, 阡, 缶",3II,2
途,도,길,,"別途 - 별도 (a separate way)
途中 - 도중 (on the way)
用途 - 용도 (use)
","亅, 个, 八, 込, 木",3II,2
稻,도,벼,,,"爪, 禾, 臼",3,2
導,도,이끌,,"指導 - 지도 (guidance)
導入 - 도입 (introduction)
指導者 - 지도자 (leader)
誘導 - 유도 (inducement)
傳導 - 전도 (transmission)
導火線 - 도화선 (fuse)
","八, 込, 寸, 自",4II,3II
盜,도,훔칠,,"强盜 - 강도 (robber, burglar)
盜聽 - 도청하다 (wiretap)
","汁, 欠, 皿",4,3
塗,도,칠할,,"塗料 - 도료 (paint)
","亅, 个, 八, 土, 汁, 木",3,2
讀,독,읽을,,"讀者 - 독자 (reader)
讀書 - 독서 (reading)
讀書 - 독서하는 (reading)
讀本 - 독본 (reading-book)
讀心術 - 독심술 (mind reading)
熟讀 - 숙독 (perusal)
","儿, 囗, 士, 言, 貝",,5II
獨,독,홀로,,"獨逸 - 독일 (Germany)
獨立 - 독립 (independence)
獨立- - 독립하다 (to become independent)
單獨 - 단독 (independence)
獨特 - 독특 (peculiarity)
獨占的 - 독점적인 (monopolistic)
","勹, 犯, 買, 虫",5II,4II
毒,독,독,,"丹毒 - 단독 (erysipelas)
中毒 - 중독 (poisoning)
毒性 - 독성 (virulence)
害毒 - 해독 (poison)
毒感 - 독감 (influenza)
消毒 - 소독 (sterilization)
","亠, 土, 母",4II,3II
督,독,감독할,,"監督 - 감독 (supervision)
監督 - 감독하다 (control)
基督敎 - 기독교 (Christianity)
提督 - 제독 (admiral)
監督者 - 감독자 (overseer)
","卜, 又, 小, 目",4II,3II
篤,독,도타울,,,"杰, 竹, 馬, 鳥",3,2
豚,돈,돼지,,,"月, 豕",3,2
敦,돈,도타울,,,"亠, 口, 子, 攵",3,2
突,돌,갑자기,,"衝突 - 충돌 (collision)
衝突 - 충돌하다 (conflict)
突起 - 돌기 (protuberance)
突出 - 돌출 (protrusion)
突進 - 돌진 (rush)
突進 - 돌진하다 (tear)
","儿, 大, 宀, 穴",3II,2
同,동,한가지,,"同時 - 동시 (at the same time; simultaneously)
共同 - 공동 (association,  union,  collaboration)
同 - 동 (the same)
同一 - 동일 (sameness)
同意 - 동의 (consent)
同意 - 동의하다 (consent)
","一, 冂, 口",7,6
洞,동,골,,"空洞 - 공동 (cavity)
洞窟 - 동굴 (cave)
","一, 冂, 口, 汁","Reading error 洞, 366","Writing error 洞, 366"
童,동,아이,,"童話 - 동화 (fairy tale)
牧童 - 목동 (cowboy)
童謠 - 동요 (nursery rhyme)
童話冊 - 동화책 (a fairy tale)
","立, 里","Reading error 童, 367","Writing error 童, 367"
冬,동,겨울,,"冬眠 - 동면 (winter sleep)
","丶, 夂, 攵",7,6
東,동,동녘,,"中東 - 중동 (Middle East)
安東 - 안동 (Andong city)
東京 - 도쿄(동경) (Tokyo)
東邦 - 동방 (the East)
南東 - 남동 (Southeast)
極東 - 극동 (Far East)
","一, ｜, 日, 木, 田",8,6II
動,동,움직일,,"活動 - 활동 (activity)
運動 - 운동 (exercise)
運動靴 - 운동화 (sneakers, tennis shoes, running shoes, cleats)
行動 - 행동 (action)
行動 - 행동하다 (conduct)
動物 - 동물 (animal)
","一, ｜, 力, 日, 里",7II,6
銅,동,구리,,"銅錢 - 동전 ((copper) coin)
靑銅 - 청동 (bronze)
分銅 - 분동 (weight)
","一, 冂, 口, 金",4II,3II
凍,동,얼,,"凍傷 - 동상 (frostbite)
冷凍 - 냉동 (freezing)
冷凍食品 - 냉동식품 (frozen food)
解凍 - 해동 (thaw)
凍石 - 동석 (soapstone)
","一, ｜, 冫, 日, 木, 田","Reading error 凍, 372","Writing error 凍, 372"
斗,두,말,,"北斗七星 - 북두칠성 (Great Bear)
",斗,4II,3II
豆,두,콩,,"軟豆色 - 연두색 (light green)
蠶豆 - 잠두 (broad bean)
","八, 口, 豆",4II,3II
頭,두,머리,,"頭蓋 - 두개 (cranium)
三頭政治 - 삼두정치 (triumvirate)
頭蓋骨 - 두개골 (skull)
饅頭 - 만두 (Chinese dumplings)
頭腦 - 두뇌 (head)
頭痛 - 두통 (headache)
","八, 口, 豆, 貝, 頁",6,5
鈍,둔,무딜,,"鈍感 - 둔감 (stolidity)
愚鈍 - 우둔 (stupidity)
","屯, 金",3,2
屯,둔,"진, 칠",,,"ノ, 乙, 凵, 屯",3,2
得,득,얻을,,"獲得 - 획득 (acquisition)
取得 - 취득 (acquisition)
說得- - 설득하다 (persuade, convince)
所得 - 소득 (earnings)
得點 - 득점 (score)
得點 - 득점하다 (score)
","一, 寸, 彳, 日",4II,3II
等,등,무리,,"高等學校 - 고등학교 (high school)
高等學生 - 고등학생 (high school student)
初等學校 - 초등학교 (elementary school)
平等 - 평등 (evenness)
不平等 - 불평등 (inequality)
不平等- - 불평등하다 (inequality)
","土, 寸, 竹",6II,5II
登,등,오를,,"登場 - 등장 (appearance)
登場- - 등장하다 (to make an appearance )
登記 - 등기 (registry)
登山 - 등산 (mountain hiking)
登攀 - 등반하다 (climb)
登記簿謄本 - 등기부등본 (a certified copy of property ownership)
","八, 口, 癶, 豆",7,6
燈,등,등,,"燈臺 - 등대 (lighthouse)
電燈 - 전등 (electric light)
街路燈 - 가로등 (a street light)
信號燈 - 신호등 (traffic signal)
燈油 - 등유 (kerosene)
幻燈 - 환등 (magic lantern)
","八, 口, 火, 癶, 豆",,3II
騰,등,오를,,"騰貴 - 등귀 (rise)
騰貴 - 등귀하다 (rise)
沸騰 - 비등 (boiling)
沸騰 - 비등하는 (boiling)
","八, 月, 馬",3,2
羅,라,벌일,,"新羅 - 신라 (the Silla Dynasty)
全羅道 - 전라도 (southwestern region of South Korea)
","買, 糸, 隹",4II,3II
落,락,떨어질,,"墜落 - 추락 (falling)
落胎 - 낙태 (abortion)
墮落 - 타락 (depravity)
沒落 - 몰락 (ruin)
落下傘 - 낙하산 (parachute)
落下 - 낙하 (drop)
","口, 夂, 汁, 艾",5,4
樂,락,즐길,"""노래 악"", ""좋아할 요""로도 읽는다.","音樂 - 음악 (music)
樂器 - 악기 (musical instrument)
民俗音樂 - 민속음악 (folk music)
音樂家 - 음악가 (a musician)
輕音樂 - 경음악 (light music)
","幺, 木, 白",6II,5II
絡,락,이을,,"連絡 - 연락 (connection, communication)
連絡- - 연락하다 (to contact, get in touch with)
脈絡 - 맥락 (context)
連絡處 - 연락처 (contact information)
","口, 夂, 糸",3II,2
卵,란,알,,"鷄卵 - 계란 (an egg)
卵子 - 난자 (ovum)
排卵 - 배란 (ovulation)
輸卵管 - 수란관 (oviduct)
","丶, ノ, 卜",4,3
亂,란,어지러울,,"混亂 - 혼란 (disorder)
亂離 - 난리 (a war, revolt, panic, fuss)
亂入者 - 난입자 (intruder)
反亂 - 반란 (uprising)
內亂 - 내란 (civil war)
亂暴者 - 난폭자 (goon)
","乙, 冂, 厶, 爪",4,3
蘭,란,난초,,"龍舌蘭 - 용설란 (century plant)
","一, ｜, 艾, 日, 木, 門",3II,2
欄,란,난간,,"欄干 - 난간 (handrail)
欄外 - 난외 (margin)
","一, ｜, 日, 木, 田, 門",3II,2
覽,람,볼,,"觀覽 - 관람 (inspection or  viewing)
博覽會 - 박람회 (fair)
便覽 - 편람 (manual)
","買, 見, 臣",4,3
濫,람,넘칠,,"濫用 - 남용 (misappropriation)
濫用 - 남용하다 (abuse)
氾濫 - 범람하다 (flood)
","ノ, 二, 汁, 皿, 臣",3,2
浪,랑,물결,,"浪費 - 낭비 (waste)
放浪 - 방랑하는 (roving)
浮浪 - 부랑 (vagrancy)
","汁, 艮",3II,2
郞,랑,사내,,"新郞 - 신랑 (a bridegroom)
",,3II,2
廊,랑,사랑채,,"回廊 - 회랑 (gallery)
","广, 邦, 艮",3II,2
來,래,올,,"元來 - 원래 (originally)
未來 - 미래 (future)
以來 - 이래 (since, after that, hereafter)
來年 - 내년 (next year)
本來 - 본래 (originally, primarily)
由來 - 유래 (derivation)
","一, ｜, 人, 八, 十, 木",7,6
冷,랭,찰,,"冷藏庫 - 냉장고 (freezer)
冷靜 - 냉정 (coolness)
冷却 - 냉각 (refrigeration)
冷凍 - 냉동 (freezing)
冷戰 - 냉전 (cold war)
冷凍食品 - 냉동식품 (frozen food)
","一, 个, 冫, 卩",5,4
略,략,간략할/다스릴,,"戰略 - 전략 (strategy)
大略 - 대략 (approximately)
略字 - 약자 (abbreviation)
省略 - 생략 (abbreviation)
侵略的 - 침략적인 (aggressive)
計略 - 계략 (trick)
","口, 夂, 田",4,3
掠,략,노략질할,,"侵掠 - 침략 (invasion)
侵掠 - 침략하다 (foray)
掠奪 - 약탈 (robbery)
掠奪 - 약탈하다 (reave)
","亠, 口, 小, 扎",3,2
良,량,어질,,"良心 - 양심 (conscience)
不良 - 불량 (badness)
改良 - 개량 (improvement)
善良 - 선량 (virtue)
良貨 - 양화 (good money)
賢母良妻 - 현모양처 (a good mother and a good wife)
",艮,5II,4II
兩,량,두,,"兩家 - 양가 (both families)
兩棲類 - 양서류 (Amphibia)
","一, ｜, 入, 冂",4II,3II
量,량,헤아릴,,"大量 - 대량 (a large quantity)
容量 - 용량 (capacity)
分量 - 분량 (quantity)
數量 - 수량 (quantity)
量子 - 양자 (quantum)
力量 - 역량 (capacity)
","一, 日, 里",5,4
涼,량,서늘할,,,"亠, 口, 小, 汁",3II,2
梁,량,들보,,,"丶, 刀, 汁, 木",3II,2
糧,량,양식,,"食糧 - 식량 (ration)
","一, 日, 米, 里",4,3
諒,량,살필,,"諒解 - 양해 (understanding)
","亠, 口, 小, 言",3,2
旅,려,나그네,,"旅行 - 여행 (trip)
旅行 - 여행하는 (traveling)
旅行 - 여행하다 (travel)
旅券 - 여권 (passport)
旅程 - 여정 (itinerary)
旅館 - 여관 (inn)
","ノ, 方",5II,4II
麗,려,고울,,"高麗 - 고려 (region surrounding Seoul)
華麗- - 화려하다 (fancy, showy, splendid, colorful)
高句麗 - 고구려 (region surrounding Seoul)
","一, 冂, 广, 比, 鹿",4II,3II
慮,려,생각할,,"顧慮 - 고려 (consideration)
考慮- - 고려하다 (regard or  respect)
無慮 - 무려 (as many as, no less  than)
憂慮 - 우려 (worry,anxiety,fear)
配慮 - 배려 (concern)
念慮 - 염려 (anxiety, worry)
","匕, 卜, 厂, 心, 田, 虍",4,3
勵,려,힘쓸,,"奬勵 - 장려 (encouragement)
","力, 厂, 田, 禹",3II,2
力,력,힘,,"勞力 - 노력 (effort)
勞力 - 노력하다 (endeavor)
能力 - 능력 (faculty)
無能力 - 무능력 (incompetence)
魅力 - 매력 (glamour)
協力 - 협력 (cooperation, cooperate with)
",力,7II,6
歷,력,지날,,"經歷 - 경력 (one's personal history)
病歷 - 병력 (medical history)
學歷 - 학력 (academic background, formal schooling)
最終學歷 - 최종학력 (highest level of education)
履歷書 - 이력서 (curriculum vitae, a resume)
",,5II,4II
曆,력,책력,,"-曆 - 달력 (a calendar)
陰曆 - 음력 (the lunar calendar)
陽曆 - 양력 (the solar calendar)
",,3II,2
連,련,잇닿을,,"連續 - 연속적인 (continuing)
連邦 - 연방 (commonwealth)
連載 - 연재 (serialization)
連鎖 - 연쇄 (chain)
連累 - 연루 (involvement)
連鎖店 - 연쇄점 (chain store)
","込, 車",4II,3II
練,련,익힐,,"訓練 - 훈련하다 (drill)
練習 - 연습 (practice)
練習 - 연습하다 (rehearse)
洗練 - 세련하다 (refine)
試練 - 시련 (trial)
老練 - 노련자 (veteran)
","｜, 八, 日, 木, 田, 糸",5II,4II
鍊,련,불릴,,"訓鍊 - 훈련 (training)
",,"Reading error 鍊, 416","Writing error 鍊, 416"
憐,련,"불쌍히, 여길",,"憐愍 - 연민 (pity)
","夕, 忙, 米, 舛",3,2
聯,련,연이을,,"關聯 - 관련 (relation)
聯絡 - 연락 (communication)
聯合 - 연합 (combination)
聯邦 - 연방 (confederation)
聯隊 - 연대 (regiment)
聯盟 - 연맹 (league)
","幺, 耳",3II,2
戀,련,그리워할/사모할,,"戀愛 - 연애 (love)
戀人 - 연인 (sweetheart)
戀歌 - 연가 (love song)
","心, 糸, 言",3II,2
蓮,련,연,,"睡蓮 - 수련 (water lily)
木蓮 - 목련 (magnolia)
","込, 艾, 車",3II,2
列,렬,벌일,,"配列 - 배열 (arrangement)
行列 - 행렬 (procession)
列擧 - 열거 (enumeration)
陳列 - 진열 (display)
陳列 - 진열하다 (expose)
數列 - 수열 (progression)
","刈, 歹",4II,3II
烈,렬,세찰,,"强烈- - 강렬하다 (intense,  strong, severe)
","刈, 歹, 杰",4,3
裂,렬,찢을,,"分裂 - 분열 (division)
分裂 - 분열하다 (disrupt)
細胞分裂 - 세포분열 (cell division)
破裂 - 파열 (rupture)
破裂 - 파열하다 (rupture)
決裂 - 결렬 (rupture)
","刈, 歹, 衣",3II,2
劣,렬,못할,,"劣等感 - 열등감 (inferiority complex)
劣等 - 열등 (inferiority)
","ノ, 力, 小",3,2
廉,렴,청렴할,,,"｜, 八, 广, ヨ",3,2
獵,렵,사냥,,,"乙, 口, 川, 犯, 臼, 鼠",3,2
令,령,하여금/명령,,"命令 - 명령 (order)
命令 - 명령하다 (require)
命令語 - 명령어 (directive, command)
假令 - 가령 (for example; supposing or admitting)
戒嚴令 - 계엄령 (martial law)
傳令 - 전령 (orderly)
","一, 个, 卩",5,4
領,령,거느릴,,"大統領 - 대통령 (president)
領域 - 영역 (region)
領主 - 영주 (feudal lord)
占領 - 점령 (occupation)
領土 - 영토 (territory)
領收證 - 영수증 (receipt)
","个, 卩, 貝, 頁",5,4
嶺,령,재,,,"个, 卩, 山, 貝, 頁","Reading error 嶺, 429","Writing error 嶺, 429"
零,령,떨어질,,"零點 - 영점 (zero)
","一, 个, 卩, 雨",3,2
靈,령,신령,,"靈魂 - 영혼 (spirit)
靈感 - 영감 (inspiration)
幽靈 - 유령 (specter)
亡靈 - 망령 (ghost)
靈藥 - 영약 (miracle drug)
","人, 口, 工, 雨",3II,2
例,례,법식,,"次例 - 차례 (order, precedence; one time, one round)
事例 - 사례 (thanks, gratitude)
例外 - 예외 (exception)
例外的 - 예외적인 (exceptional)
例示 - 예시 (exemplification)
比例 - 비례 (proportion)
","化, 刈, 歹",6,5
禮,례,예도,,"禮儀 - 예의 (etiquette)
失禮 - 실례 (rudeness, impolite)
失禮- - 실례하다 (to be impolite)
禮拜 - 예배 (worship)
禮拜 - 예배하다 (worship)
葬禮 - 장례 (a funeral)
","一, ｜, 八, 口, 日, 礼, 豆",6,5
隷,례,종,,,"二, 士, 小, ヨ, 水, 隶",3,2
路,로,길,,"海路 - 해로 (sea route)
隘路 - 애로 (bottleneck)
道路 - 도로 (road)
經路 - 경로 (route)
路線 - 노선 (line)
街路 - 가로 (street)
","口, 夂, 足",6,5
露,로,이슬,,"露出 - 노출 (exposure)
暴露 - 폭로 (revelation)
露點 - 노점 (dew point)
露出症 - 노출증 (exhibitionism)
","口, 夂, 足, 雨",3II,2
老,로,늙을,,"老人 - 노인 (elderly person)
老朽 - 노후 (decrepitude)
老練 - 노련자 (veteran)
老婆 - 노파 (old woman)
老眼 - 노안 (presbyopia)
老兵 - 노병 (old soldier)
",老,7,6
勞,로,일할,,"勞力 - 노력 (effort)
勞力 - 노력하다 (endeavor)
勞動 - 노동 (labor, work)
勞動者 - 노동자 (laborer)
慰勞 - 위로 (consolation, solace)
慰勞- - 위로하다 (to console, cheer sb up)
","冖, 力, 火",5II,4II
爐,로,화로,,"高爐 - 고로 (blast furnace)
煖爐 - 난로 (stove)
鎔鑛爐 - 용광로 (smelting furnace)
香爐 - 향로 (incense burner)
","匕, 卜, 厂, 火, 田, 皿, 虍",3II,2
綠,록,푸를,,"綠色 - 녹색 (green)
草綠色 - 초록색 (green)
",,6,5
祿,록,녹,,"貫祿 - 관록 (dignity)
","彑, 水, 礼, 隶",3II,2
