Hanja,Pronunciation,Meaning_K,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level,Strokes,Meaning_E
據,거,의거할,,"證據 - 증거 (proof)
","匕, 卜, 厂, 扎, 虍, 豕",4,3,16,"to  occupy,  take  possession  of;  a  base "
建,건,세울,,"建物 - 건물 (building)
","廴, 聿",5,4,8,"build,  establish,  erect,  found "
乾,건,하늘,,"乾燥 - 건조 (dryness, aridity)
","乙, 十, 日",3II,2,11,"dry;  first  hexagram;  warming  principle  of  the  sun,  penetrating  and  fertilizing,  heavenly  generative  principle  male) "
件,건,물건,,"件 - 건 (a matter or  an object or  a case)
","化, 牛",5,4,6,numerary  adjunct  for  article;  matter 
健,건,튼튼할,,"健康 - 건강 (health)
","化, 廴, 聿",5,4,10,"strong,  robust,  healthy;  strength "
傑,걸,뛰어날,,"傑作 - 걸작 (masterpiece)
","化, 夕, 木, 舛",4,3,12,"hero;  outstanding,  remarkable "
乞,걸,빌,,,"一, ノ, 乙",3,2,3,beg;  request 
儉,검,검소할,,"儉約 - 검약 (economy)
","人, 化, 个, 口",4,3,15,"temperate,  frugal,  economical "
劍,검,칼,,"劍舞 - 검무 (sword dance)
","人, 个, 刈, 口",3II,2,15,"sword,  dagger,  saber "
檢,검,검사할,,"檢査 - 검사 (examination)
","人, 个, 口, 木",4II,3II,17,check;  examine 
格,격,격식,,"價格 - 가격 (cost)
","口, 夂, 木",5II,4II,10,"pattern,  standard,  form;  style "
擊,격,칠,,"攻擊 - 공격 (attack)
",,4,3,17,"strike,  hit,  beat;  attack,  fight "
激,격,격할,,"急激- - 급격히 (rapidly, suddenly)
","汁, 攵, 方, 白",4,3,16,"arouse,  excite,  incite;  quickly "
隔,격,"사이, 뜰",,"間隔 - 간격 (space)
","一, 儿, 冂, 口, 阡, 鬲",3II,2,12,"separate,  partition "
犬,견,개,,"犬齒 - 견치 (eyetooth)
","丶, 大, 犬",4,3,4,dog;  radical  number 
見,견,볼,,"發見 - 발견 (discovery)
","儿, 目, 見",5II,4II,7,"see,  observe,  behold;  perceive "
堅,견,굳을,,"堅果 - 견과 (nut)
","又, 土, 臣",4,3,11,"hard,  strong,  firm;  resolute "
肩,견,어깨,,"肩章 - 견장 (shoulder strap)
","戸, 月",3,2,8,shoulders;  to  shoulder;  bear 
絹,견,비단,,,"口, 月, 糸",3,,13,kind  of  thick  stiff  silk 
遣,견,보낼,,,"一, ｜, 込, 口",3,2,13,"send,  dispatch;  send  off,  exile "
牽,견,이끌,,"牽制 - 견제 (diversion)
","亠, 冖, 厶, 牛",3,2,11,"drag,  pull,  lead  by  hand "
決,결,결단할,,"決定 - 결정 (decision)
","二, 人, 大, 汁",5II,4II,7,"decide,  determine,  judge "
結,결,맺을,,"結果 - 결과 (result)
","口, 士, 糸",5II,4II,12,"knot,  tie;  join,  connect "
潔,결,깨끗할,,"簡潔 - 간결 (brevity)
","亠, 刀, 土, 汁, 糸",4II,3II,15,"clean,  purify,  pure "
缺,결,이지러질,,"缺乏 - 결핍 (want)
","ノ, 二, 人, 凵, 大, 缶",4II,3II,10,"be  short  of,  lack;  gap,  deficit "
兼,겸,겸할,,,"一, ｜, 八, ヨ",3II,2,10,"unite,  combine;  connect;  and "
謙,겸,겸손할,,"謙遜 - 겸손 (humility)
","｜, 八, ヨ, 言",3II,2,17,"humble,  modest "
京,경,서울,,"京畿道 - 경기도 (region surrounding Seoul)
","亠, 口, 小",6,5,8,capital  city 
景,경,볕,,"景氣 - 경기 (the business market's state)
","亠, 口, 小, 日",5,4,12,"scenery,  view;  conditions "
輕,경,가벼울,,"輕蔑 - 경멸 (disdain)
","川, 工, 車",5,4,14,"light;  easy,  simple;  gentle "
經,경,지날/글,,"經濟 - 경제 (economy)
","川, 工, 糸",Could not retrieve reading level.,3II,13,classic  works;  pass  through 
庚,경,별,,,"人, 广, ヨ",3,2,8,th  heavenly  stem 
耕,경,"밭, 갈",,"耕作 - 경작 (cultivation)
","｜, 亅, 八, 土, 木, 井, 耒",Could not retrieve reading level.,2,10,"plow,  cultivate "
敬,경,공경할,,"尊敬 - 존경 (reverence)
","勹, 口, 艾, 攵",5II,4II,12,"respect,  honor;  respectfully "
驚,경,놀랄,,,"勹, 口, 夂, 艾, 攵, 馬",4,3,22,"frighten,  surprise,  startle "
慶,경,경사,,"慶州 - 경주 (region surrounding Seoul)
","冖, 夂, 广, 心",4II,3II,15,"congratulate,  celebrate "
競,경,겨룰,,"競技 - 경기 (game)
","儿, 口, 立",5,4,20,"contend,  vie,  compete "
竟,경,마침내,,,"儿, 日, 立, 音",3,2,11,"finally,  after  all,  at  last "
境,경,지경,,"境遇 - 경우 (a case; an instance)
","儿, 土, 日, 立, 音",4II,3II,14,"boundary,  frontier;  area,  region "
鏡,경,거울,,"眼鏡 - 안경 (spectacle)
","儿, 日, 立, 金, 音",4,3,19,mirror;  lens;  glass;  glasses 
頃,경,이랑/잠깐,,,"匕, 貝, 頁",3II,2,11,a  moment;  a  measure  of  area  equal  to  mu  or  hectares;  to  lean 
傾,경,기울,,"傾向 - 경향 (tendency)
","化, 匕, 貝, 頁",4,3,13,"upset,  pour  out,  overflow "
硬,경,굳을,,"硬度 - 경도 (hardness)
","一, ノ, 口, 日, 石",3II,2,12,"hard,  firm,  strong;  obstinate "
警,경,깨우칠/경계할,,"警察 - 경찰 (police)
","勹, 口, 夂, 艾, 攵, 言",4II,3II,19,"guard,  watch;  alert,  alarm "
徑,경,지름길,,"半徑 - 반경 (radius)
","一, 川, 工, 彳",3II,2,10,narrow  path;  diameter;  direct 
卿,경,벼슬,,,"卩, 艮",3,2,10,"noble,  high  officer "
癸,계,북방,,,"二, 大, 癶",3,2,9,th  heavenly  stem 
季,계,계절,,"季節 - 계절 (season)
","子, 禾",4,3,8,quarter  of  year;  season;  surname 
界,계,지경,,"世界 - 세계 (world)
","个, 儿, 田",6II,5II,9,"boundary,  limit;  domain;  society;  the  world "
計,계,셀,,"計劃 - 계획 (scheme)
","十, 言",6II,5II,9,"plan,  plot;  strategem;  scheme "
溪,계,시내,,"溪谷 - 계곡 (valley)
","大, 幺, 汁, 爪",3II,2,13,"mountain  stream,  creek "
鷄,계,닭,,"鷄卵 - 계란 (an egg)
","大, 幺, 杰, 爪, 鳥",4,3,21,chicken 
系,계,이을,,"體系 - 체계 (system)
","ノ, 糸",4,3,7,"system;  line,  link,  connection "
係,계,맬,,"關係 - 관계 (relation)
","ノ, 化, 糸",4II,3II,9,"bind,  tie  up;  involve,  relation "
戒,계,경계할,,"警戒 - 경계 (vigilance)
","廾, 戈",4,3,7,"warn,  caution,  admonish "
械,계,기계,,"機械 - 기계 (machine)
","廾, 戈, 木",3II,2,11,"weapons;  implements,  instruments "
繼,계,이을,,"繼續 - 계속 (continuation)
","｜, 匚, 幺, 糸",4,3,20,"continue,  maintain,  carry  on "
契,계,맺을,,"契約 - 계약 (compact)
","亠, 刀, 土, 大",3II,2,9,"deed,  contract,  bond;  engrave "
桂,계,계수나무,,"桂皮 - 계피 (cinnamon)
","土, 木",3II,2,10,cassia  or  cinnamon 
啓,계,열,,"啓示 - 계시 (revelation)
","口, 戸, 攵",3II,2,11,"open;  begin,  commence;  explain "
階,계,섬돌,,"段階 - 단계 (gradation)
","阡, 比, 白",4,3,11,"stairs,  steps;  rank,  degree "
繫,계,맬,,,,3,2,19,"attach,  connect,  unite,  fasten "
古,고,옛,,"古典 - 고전 (classic)
","十, 口",6,5,5,"old,  classic,  ancient "
故,고,옛,,"事故 - 사고 (accident)
","十, 口, 攵",4II,3II,,"ancient,  old;  reason,  because "
固,고,굳을,,"固定 - 고정 (fixation)
","十, 口, 囗",5,4,8,"to  become  solid,  solidify;  strength "
苦,고,쓸,,"苦悶 - 고민 (worry,  anguish)
","十, 口, 艾",6,5,8,"bitter;  hardship,  suffering "
考,고,생각할,,"思考 - 사고 (thought, contemplation)
",老,5,4,6,"examine,  test;  investigate "
高,고,높을,,"最高 - 최고 (the best)
","亠, 冂, 口, 高",6II,5II,10,"high,  tall;  lofty,  elevated "
告,고,알릴,,"報告 - 보고 (information)
","ノ, 口, 土",5II,4II,7,"tell,  announce,  inform;  accuse "
枯,고,마를,,,"十, 口, 木",3,2,9,"dried  out,  withered,  decayed "
姑,고,시어미,,"姑母 - 고모 (a paternal aunt)
","十, 口, 女",3II,2,8,father' s  sister;  husband' s  mother 
庫,고,곳집,,"冷藏庫 - 냉장고 (freezer)
","广, 車",4,3,10,"armory,  treasury,  storehouse "
孤,고,외로울,,"孤立 - 고립 (isolation)
","子, 瓜",4,3,8,"orphan,  fatherless;  solitary "
鼓,고,북,,"鼓手 - 고수 (drummer)
","八, 十, 又, 口, 士, 支, 豆",3II,2,13,"drum;  beat,  top,  strike "
稿,고,볏짚,,"原稿 - 원고 (a manuscript)
","亠, 冂, 口, 禾, 高",3II,2,15,"draft,  manuscript,  rough  copy "
顧,고,돌아볼,,"愛顧 - 애고 (patronage)
","戸, 貝, 隹, 頁",3,2,21,look  back;  look  at;  look  after 
谷,곡,골,,"溪谷 - 계곡 (valley)
","个, 八, 口, 谷",3II,2,7,"valley,  gorge,  ravine "
曲,곡,굽을,,"歪曲 - 왜곡 (distortion)
","｜, 日",5,4,6,"crooked,  bent;  wrong,  false "
穀,곡,곡식,,"穀物 - 곡물 (grain)
","冖, 士, 殳, 禾",4,3,15,"corn,  grain,  cereal;  lucky "
哭,곡,울,,,"口, 犬",3II,2,10,"weep,  cry,  wail "
困,곤,곤할,,"疲困 - 피곤 (fatigue, exhaustion)
","囗, 木",4,3,7,"to  surround,  beseige;  to  be  surrounded;  difficult "
坤,곤,땅,,,"｜, 土, 日, 田",3,2,8,"earth;  feminine,  female "
骨,골,뼈,,"頭蓋骨 - 두개골 (skull)
","冂, 冖, 月",4,3,9,"bone;  skeleton;  frame,  framework "
工,공,장인,,"工夫 - 공부 (study)
",工,7II,6,3,"labor,  work;  worker,  laborer "
功,공,공,,"成功 - 성공 (success)
","力, 工",6II,5II,5,"achievement,  merit,  good  result "
空,공,빌,,"空港 - 공항 (airport)
","儿, 宀, 工, 穴",7II,6,8,"empty,  hollow,  bare,  deserted "
共,공,함께,,"共同 - 공동 (association,  union,  collaboration)
",八,6II,5II,6,"together  with,  all,  total;  to  share "
公,공,공변될,,"公開 - 공개 (opening to the public, making public)
","八, 厶",6II,5II,4,"fair,  equitable;  public;  duke "
孔,공,구멍,,"孔雀 - 공작 (peacock)
","乙, 子",4,3,4,"opening,  hole,  orifice;  great "
供,공,이바지할,,"提供 - 제공 (offer)
","一, ｜, 二, 化, 八",3II,2,8,"supply,  provide  for;  offer  in  worship "
恭,공,공손할,,,"八, 心, 井",3II,2,10,"respectful,  polite,  reverent "
攻,공,칠,,"攻擊 - 공격 (attack)
","工, 攵",4,3,7,"attack,  assault;  criticize "
恐,공,두려울,,"恐怖 - 공포 (terror)
","丶, 几, 工, 心",3II,2,10,"fear;  fearful,  apprehensive "
貢,공,바칠,,"貢獻 - 공헌 (service)
","工, 貝",3II,2,10,"offer  tribute;  tribute,  gifts "
果,과,열매,,"結果 - 결과 (result)
","｜, 木, 田",6II,5II,8,fruit;  result 
課,과,공부할/과정,,"課 - 과 (a lesson; a section; a department)
","木, 田, 言",5II,4II,15,lesson;  course;  classwork 
科,과,과목,,"科 - 과 (a course or  branch of study; a department or  a faculty)
","斗, 禾",6II,5II,9,"section,  department,  science "
過,과,지날,,"過程 - 과정 (process or course)
","冂, 込, 口",5II,4II,11,"pass,  pass  through,  go  across "
誇,과,자랑할,,"誇張 - 과장 (exaggeration)
","二, 勹, 大, 言",3II,2,13,"exaggerate;  brag,  boast;  flaunt "
寡,과,적을,,"寡婦 - 과부 (widow)
","一, 八, 刀, 宀, 自",3II,2,14,"widowed;  alone,  friendless "
郭,곽,성곽,,"胸郭 - 흉곽 (chest)
","亅, 亠, 口, 子, 邦",3,2,10,outer  part  of  a  city) surname 
官,관,벼슬,,"官吏 - 관리 (a government official)
","口, 宀",4II,3II,8,"official,  public  servant "
觀,관,볼,,"壯觀 - 장관 (spectacle)
","十, 口, 艾, 見, 隹",5II,4II,24,"see,  observe,  view;  appearance "
關,관,빗장,,"關聯 - 관련 (relation)
","幺, 門",5II,4II,19,frontier  pass;  close;  relation 
館,관,집,,"圖書館 - 도서관 (library)
","口, 宀, 食",3II,2,16,public  building 
管,관,대롱,,"管理 - 관리 (control)
","口, 宀, 竹",4,3,14,"pipe,  tube,  duct;  woodwind  music "
貫,관,꿸,,"貫通 - 관통하다 (pierce)
","母, 貝",3II,2,11,a  string  of  coins;  to  go  through 
慣,관,익숙할,,"習慣 - 습관 (habit)
","忙, 母, 貝",3II,2,14,"habit,  custom;  habitually,  usually "
冠,관,갓,,"王冠 - 왕관 (diadem)
","儿, 冖, 寸",3II,2,9,"cap,  crown,  headgear "
寬,관,너그러울,,"寬大 - 관대 (generous)
",,3II,2,14,"broad,  wide;  spacious,  vast "
光,광,빛,,"光州 - 광주 (region surrounding Seoul)
","一, 儿, 尚",6II,5II,6,"light,  brilliant,  shine;  only "
廣,광,넓을,,"廣告 - 광고 (advertisement)
","八, 广, 田, 黄",5II,4II,14,"broad,  wide,  extensive "
鑛,광,쇳돌,,"鑛物 - 광물 (mineral)
","八, 广, 田, 金, 黄",4,3,22,"mine;  mineral,  ore "
狂,광,미칠,,"發狂 - 발광 (craziness)
","犯, 王",3II,2,7,"insane,  mad;  violent;  wild "
掛,괘,걸,,,"卜, 土, 扎",3,2,11,"hang,  suspend;  suspense "
塊,괴,흙덩이,,"塊莖 - 괴경 (tuber)
","儿, 匕, 厶, 土, 田, 鬼",3,2,12,"piece,  lump;  dollar "
愧,괴,부끄러울,,,"儿, 匕, 忙, 田, 鬼",3,2,12,"ashamed,  conscience- stricken "
怪,괴,기이할,,"怪物 - 괴물 (monster)
","又, 土, 忙",3II,2,8,"strange,  unusual,  peculiar "
壞,괴,무너질,,"破壞 - 파괴 (destruction)
","亠, 土, 買, 衣",3II,2,19,"bad,  spoil( ed) ruin,  destroy "
交,교,사귈,,"交通 - 교통 (traffic)
","亠, 父",6,5,6,"mix;  intersect;  exchange,  communicate;  deliver "
校,교,학교,,"學校 - 학교 (school)
","亠, 木, 父",8,6II,10,school;  military  field  officer 
橋,교,다리,,"橋頭堡 - 교두보 (bridgehead)
","ノ, 冂, 口, 木",5,4,16,"bridge;  beam,  crosspiece "
敎,교,가르칠,,"敎育 - 교육 (education)
",,8,6II,11,teach 
郊,교,들,,"郊外 - 교외 (suburb)
","亠, 邦, 父",3,2,8,"suburbs;  waste  land,  open  spaces "
較,교,견줄,,"比較 - 비교 (comparison)
","亠, 父, 車",3II,2,13,"compare;  comparatively,  more "
巧,교,공교할,,"技巧 - 기교 (technique)
","一, 勹, 工",3II,2,5,"skillful,  ingenious,  clever "
矯,교,바로잡을,,"矯正 - 교정 (correction)
","ノ, 冂, 口, 大, 矢",3,2,17,"correct,  rectify,  straighten  out "
九,구,아홉,,"九 - 구 (9)
",九,8,6II,2,nine 
口,구,입,,"人口 - 인구 (population)
",囗,7,6,3,"mouth;  open  end;  entrance,  gate "
求,구,구할,,"要求 - 요구 (request)
","一, 丶, 水",4II,3II,7,"seek;  demand,  request;  beseech "
救,구,건질,,"救助 - 구조하다 (rescue)
","丶, 攵, 水",5,4,11,"save,  rescue,  relieve;  help,  aid "
究,구,연구할,,"硏究 - 연구 (research)
","儿, 九, 宀, 穴",4II,3II,7,"examine,  investigate "
久,구,오랠,,"永久 - 영구 (eternity)
","ノ, 入",3II,2,3,"long  time  ago) time  passage,  grow  late "
句,구,글귀,,"文句 - 문구 (passage, paragraph)
","勹, 口",Could not retrieve reading level.,3II,5,sentence 
舊,구,예,,"親舊 - 친구 (a friend)
","艾, 臼, 隹",5II,4II,17,"old,  ancient;  former,  past "
具,구,갖출,,"器具 - 기구 (utensil)
","一, 八, 目",5II,4II,8,"tool,  implement;  draw  up,  write "
俱,구,함께,,,,3,2,10,"all,  together;  accompany "
區,구,구분할,,"區 - 구 (ward or  district)
","匚, 口, 品",6,5,11,"area,  district,  region,  ward;  surname "
驅,구,몰,,"驅逐艦 - 구축함 (destroyer)
","匚, 口, 品, 馬",3,2,21,"spur  a  horse  on;  expel,  drive  away "
苟,구,진실로,,,"勹, 口, 艾",3,2,8,"careless,  frivolous;  illicit;  grammatical  particle:  if,  but,  if  only;  surname;  grass  name;  distinguish  ji4"
拘,구,잡을,,"不拘- - 불구하다 (deformity, malformation)
","勹, 口, 扎",3II,2,8,"restrain,  seize,  detain "
狗,구,개,,"走狗 - 주구 (running dog)
","勹, 口, 犯",3,2,8,"dog,  canis  familiaris "
丘,구,언덕,,,"一, 斤",3II,2,5,hill;  elder;  empty;  a  name 
懼,구,두려워할,,,"忙, 目, 隹",3,2,21,"fear,  be  afraid  of,  dread "
龜,구,"땅, 이름","거북, 귀",,亀,3,2,16,turtle  or  tortoise;  cuckold 
構,구,얽을,,"構成 - 구성 (organization)
","一, 冂, 十, 木",4,3,14,"frame,  building,  structure "
球,구,공,,"蹴球 - 축구 (soccer)
","丶, 水, 王",6II,5II,11,"ball,  sphere,  globe;  round "
國,국,나라,,"韓國 - 한국 (Korea)
","口, 囗, 戈",8,6II,11,"nation,  country,  nation- state "
菊,국,국화,,"菊花 - 국화 (chrysanthemum)
","勹, 艾, 米",3II,2,11,chrysanthemum 
局,국,판,,"結局 - 결국 (after all; in the end)
","口, 尸",5II,4II,7,"bureau,  office;  circumstance "
君,군,임금,,"君 - 군 (Mister)
","一, ノ, 口, 日",4,3,7,"sovereign,  monarch,  ruler,  chief,  prince "
郡,군,고을,,"郡 - 군 (a county or district)
","一, 口, 邦",6,5,9,administrative  division 
軍,군,군사,,"軍 - 군 (an army)
","冖, 車",8,6II,9,"army,  military;  soldiers,  troops "
群,군,무리,,"症候群 - 증후군 (syndrome)
","一, 八, 口, 王, 羊",4,3,13,"same  as  group,  crowd,  multitude,  mob "
屈,굴,굽힐,,"屈辱 - 굴욕 (humiliation)
","｜, 尸, 山",4,3,8,"bend,  flex;  bent,  crooked;  crouch "
弓,궁,활,,"弓術 - 궁술 (archery)
",弓,3II,2,3,"bow;  curved,  arched;  angX i  radical  number "
宮,궁,집,,"子宮 - 자궁 (womb)
","口, 宀",4II,3II,10,"palace,  temple,  dwelling,  enclose "
窮,궁,다할,,"窮極的 - 궁극적 (finally or in the end, 마지막으로)
","儿, 宀, 弓, 穴, 身",4,3,15,"poor,  destitute,  impoverished "
卷,권,책,,"卷 - 권 (a volume, a book (counter))
","二, 人, 八, 卩, 大",4,3,,scroll;  curl;  make  a  comeback 
權,권,권세,,"選擇權 - 선택권 (option)
","十, 口, 艾, 木, 隹",4II,3II,21,"power,  right,  authority "
勸,권,권할,,"勸- - 권하다 (advise, persuade, recommend)
","力, 十, 口, 艾, 隹",4,3,19,"recommend,  advise,  urge "
拳,권,주먹,,"拳鬪 - 권투 (boxing)
","一, 八, 大, 手",3II,2,10,fist;  various  forms  of  boxing 
券,권,문서,,"證券 - 증권 (security)
","一, 二, 人, 八, 刀, 大",4,3,,"certificate,  ticket;  title  deeds "
厥,궐,그,,,"八, 厂, 屮, 欠",3,2,12,"personal  pronoun  he,  she,  it "
軌,궤,"바퀴, 자국",,,"九, 車",3,2,9,"track,  rut,  path "
貴,귀,귀할,,"貴族 - 귀족 (noble)
","一, ｜, 口, 貝",5,4,12,"expensive,  costly,  valuable "
歸,귀,돌아갈,,"復歸 - 복귀 (return)
","冖, 口, 巾, ヨ, 止",4,3,18,"return;  return  to,  revert  to "
鬼,귀,귀신,,"鬼神 - 귀신 (a ghost)
","儿, 匕, 厶, 田, 鬼",3II,2,9,ghost;  spirit  of  dead;  devil 
叫,규,부르짖을,,"絶叫 - 절규 (exclamation)
","｜, 十, 口",3,2,5,"cry,  shout;  hail,  greet,  call "
規,규,법,,"規模 - 규모 (scale)
","土, 大, 見",5,4,11,"rules,  regulations,  customs,  law "
糾,규,얽힐,,"糾合 - 규합하다 (rally)
","｜, 十, 糸",3,2,8,"investigate,  inspect "
均,균,고를,,"平均 - 평균 (average)
","二, 冫, 勹, 土",4,3,7,"equal,  even,  fair;  all,  also "
菌,균,버섯,,"細菌 - 세균 (germ)
","囗, 艾, 禾",3II,2,11,"mushroom;  germ,  microbe "
極,극,다할,,"積極 - 적극 (the positive)
","一, 又, 口, 木",4II,3II,12,"extreme,  utmost,  furthest,  final "
克,극,이길,,"克服 - 극복 (conquest, subjugation)
","儿, 十, 口",3II,2,7,gram;  overcome;  transliteration 
劇,극,심할,,"劇 - 극 (drama, play)
","刈, 匕, 卜, 厂, 虍, 豕",4,3,15,"theatrical  plays,  opera,  drama "
近,근,가까울,,"最近 - 최근 (recently)
","込, 斤",6,5,7,"near,  close;  approach;  intimate "
